@relation processed_comments

@attribute Worth {Worthy,NotWorthy}
@attribute character_count numeric
@attribute word_count numeric
@attribute emoticon_count numeric
@attribute punctuation_count numeric
@attribute response_count numeric
@attribute post_comment_similarity numeric
@attribute sentence_count numeric
@attribute avg_sentence_len numeric
@attribute avg_syllables_per_word numeric
@attribute flesch_kinkaid_ease numeric
@attribute gunning_fog_index numeric

@data
Worthy,766,142,0,26,2,0.091263,8,17.75,1.457746,65.493398,11.325352
Worthy,1354,251,3,35,0,0.149781,15,16.733333,1.458167,66.48971,11.155485
Worthy,390,71,0,10,1,0.080666,5,14.2,1.464789,68.500873,7.933521
Worthy,188,35,0,4,0,0.104364,1,35,1.657143,31.115714,20.857143
NotWorthy,204,25,0,14,0,0.027156,3,9,2,28.5,11.007407
NotWorthy,647,112,0,12,1,0.041165,5,22.6,1.469027,59.616354,13.287788
Worthy,446,74,0,9,1,0.108257,6,12.5,1.666667,53.1475,11.4
Worthy,775,129,0,30,0,0.277028,5,26.2,1.671756,38.811466,16.892214
NotWorthy,179,32,0,4,0,0.052182,1,32,1.6875,31.5925,20.3
NotWorthy,225,42,0,10,0,0.064745,4,10.5,1.333333,83.3775,8.009524
NotWorthy,332,65,0,5,0,0.098255,3,21.666667,1.4,66.403333,11.74359
Worthy,476,83,0,8,0,0.058766,8,10.375,1.578313,62.779074,9.933133
NotWorthy,116,18,2,6,0,0.03505,3,6,1.722222,55.045,13.511111
NotWorthy,260,45,0,4,0,0.014531,2,23,1.5,56.59,14.417391
NotWorthy,255,46,1,9,1,0.012684,4,11.5,1.413043,75.619022,8.078261
NotWorthy,64,13,0,3,0,0,2,6.5,1.153846,102.622115,2.6
Worthy,211,45,0,4,0,0.040004,2,22.5,1.222222,80.5975,9
NotWorthy,203,37,0,4,0,0.012684,2,19,1.394737,69.555263,9.705263
Worthy,163,30,0,9,0,0.014097,3,10,1.433333,75.425,8
NotWorthy,311,56,0,6,0,0.091192,4,14,1.589286,58.171429,11.314286
NotWorthy,348,67,0,5,1,0.063671,6,11.166667,1.462687,71.75755,9.839801
NotWorthy,92,16,0,2,0,0.023729,2,8,1.5625,66.5275,10.7
NotWorthy,208,40,0,3,0,0.031068,2,20,1.45,63.865,12
Worthy,276,50,0,8,1,0.142374,5,10,1.44,74.861,6.4
NotWorthy,108,18,1,2,1,0.047458,1,18,1.611111,52.265,13.866667
NotWorthy,26,4,0,2,0,0.047458,2,2,1.75,56.755,10.8
NotWorthy,60,9,2,0,0,0.033558,1,9,2,28.5,12.488889
NotWorthy,230,37,0,9,0,0.087625,3,12.666667,1.526316,64.852018,9.277193
Worthy,317,62,0,6,1,0.035875,2,31,1.354839,60.750645,16.916129
NotWorthy,65,12,0,3,5,0.073521,1,12,1.5,67.755,11.466667
Worthy,437,73,0,17,2,0.240021,5,14.8,1.635135,53.480568,11.865946
NotWorthy,97,20,0,4,1,0,1,20,1.3,76.555,8
NotWorthy,124,23,0,3,3,0,1,23,1.304348,73.142174,12.678261
NotWorthy,370,67,0,17,1,0.030528,7,9.714286,1.382353,80.027941,8.003361
